title,currency,sold_price,sold_date
LEGO Minecraft The Blaze Bridge 21154 Building Kit Playset 372 Pieces ,£,24.37,9 Sep 2022
Lego BrickHeadz Iron Man 41590,£,21.75,9 Sep 2022
NEW LEGO STAR WARS SET 75301 LUKE SKYWALKER'S X-WING FIGHTER **NO MINIFIGURES**,£,28.95,9 Sep 2022
LEGO Beatles Yellow Submarine 21306 SEALED RETIRED,£,169.73,9 Sep 2022
LEGO Star Wars Clone Trooper Command Station (40558) SHIPS FAST,£,29.59,9 Sep 2022
LEGO STAR WARS: Republic Fighter Tank (75342) New 2022 ,£,46.13,9 Sep 2022
Lot of 6 Lego DOTS Extra Dots 41921 Series 3 - 107 Pieces Each!,£,8.7,9 Sep 2022
LEGO City Space Mars Research Shuttle Sealed Toy Building Kit 60226 ,£,25.99,9 Sep 2022
LEGO Star Wars The Mandalorians N-1 Starfighter 75325  Sealed New In Box,£,46.13,9 Sep 2022
LEGO 75319 Star Wars The Armorer’s Mandalorian Forge (258 pcs) Brand New! Sealed,£,36.56,9 Sep 2022
LEGO HOUSE 40501 THE WOODEN DUCK LIMITED EDITION Exclusive Billund Denmark! ,£,251.54,9 Sep 2022
"New listingLEGO 40260 Halloween Haunt (2017) | New, Unopened, Great Condition",£,19.99,9 Sep 2022
SDCC LEGO Exclusive Figure DC Super Heros Vixen 2017,£,198.02,9 Sep 2022
LEGO Adventures with Mario Starter Course Super Mario 71360 Set - New - Sealed,£,39.99,9 Sep 2022
LEGO Juniors: Road Repair Truck (10750)New,£,8.5,9 Sep 2022
LEGO 76394 Harry Potter Fawkes Dumbledore's Phoenix Set. Brand New.,£,35.99,9 Sep 2022
LEGO DC Super Heros SDCC 2016 Exclusive Atom Minifigure Sealed Blister Pack,£,261.12,9 Sep 2022
Lego City Fireman Rare 951902 unopened,£,3.2,9 Sep 2022
LEGO 71034 - SERIES 23 Minifigures - Reindeer - NEW - IN STOCK TO SEND TODAY,£,5.9,9 Sep 2022
Lego 41679 Friends Forest House Building Set with 2 Figures 6+ Years 326 Pcs,£,17.4,9 Sep 2022
LEGO Star Wars: Boba Fett Helmet (75277),£,31.33,9 Sep 2022
New listingLEGO Tanooki Super Mario 71385 Power-Up Pack BNIB B,£,9.99,9 Sep 2022
LEGO Star Wars: Krennic's Imperial Shuttle (75156),£,150.0,9 Sep 2022
LEGO FRIENDS:  (41679) Forest House Treehouse Toy Adventure Set 6+ Years,£,14.7,9 Sep 2022
LEGO CREATOR: Vip Exclusive Retro Vintage Camera (6392344) Brand New in Sealed,£,34.99,9 Sep 2022
LEGO HALLOWEEN- 40570 Halloween Cat & Mouse 2022 New Sealed BNIB MISB,£,15.0,9 Sep 2022
Lego Holiday 40410 Charles Dickens Tribute Set - A Christmas Carol NIB,£,34.81,9 Sep 2022
Lego Harry Potter - Hogwarts: Grand Staircase (40577) - Hermione - New & Sealed,£,44.95,9 Sep 2022
SEALED in BOX Lego 76170 Marvel Avengers Iron Man vs Thanos 103 pieces,£,15.61,9 Sep 2022
LEGO The LEGO Movie 2: Rex's Plantimal Ambush (30460),£,0.99,9 Sep 2022
LEGO VIP Keychain Metal Silver Brick Collectible Award Logo Key Chain,£,21.75,9 Sep 2022
LEGO 76902 Speed Champions McLaren Elva Racing Car Toy for Kids 7+ Years Old,£,13.5,9 Sep 2022
LEGO Marvel Super Heroes Avengers Quinjet City Chase 76032 NEW SEALED RETIRED,£,145.0,9 Sep 2022
Lego 40493 Spider & Haunted House Pack | Halloween Decoration | New ,£,26.85,9 Sep 2022
LEGO BRICKHEADZ: Bride Set 40383 New Sealed BNISB Brick Heads Headz,£,7.49,9 Sep 2022
LEGO Creator Owl and Hedgehog 3 in 1 boxset 31125 BNIB,£,6.61,9 Sep 2022
LEGO DUPLO: My First Bird (10852) New And Sealed,£,9.95,9 Sep 2022
Lego Star Wars 6346098 Yodas Lightsaber Limited Edition  Rare New And Sealed,£,145.0,9 Sep 2022
Lego® Vintage Taxi 40532 Brand New And Sealed Unopened ,£,21.75,9 Sep 2022
6280 Pirates Imperial Armada Flagship New & Sealed System - The Santa Cruz,£,443.9,9 Sep 2022
Lego 5007093 Spinning 90th Anniversary Retro Keychain VIP Exclusive Brand New,£,11.32,9 Sep 2022
LEGO 76165 Iron Man Helmet *NEW*,£,87.03,9 Sep 2022
LEGO 10294  Titanic Creator BRAND NEW factor Sealed In Original Lego Box,£,799.0,9 Sep 2022
LEGO Duplo 10882 Eisenbahn Schienen Bahnübergang Gerade 2 x Weiche Prellbock NEU,£,21.84,9 Sep 2022
lego DC Comics Super Heroes 76068 Mighty Micros Superman vs Bizarro. damaged box,£,15.66,9 Sep 2022
LEGO® 10272 Creator Expert Old Trafford Manchester United NEU OVP,£,241.78,9 Sep 2022
title,currency,sold_price,sold_date
Lego 76125 Marvel Avengers Iron Man Hall Of Armor RETIRED NIB,£,43.08,9 Sep 2022
LEGO Ninjago Set 71768 Jay's Golden Dragon Motorbike Neu Ungeöffnet ⚡versand,£,12.47,9 Sep 2022
*Brand New* LEGO Star Wars The Mandalorian Helmet 75328 - New 2022,£,38.3,9 Sep 2022
LEGO Speed Champions Audi R18 e-tron quattro (75872),£,49.5,9 Sep 2022
Lego Star Wars The Mandalorian Razor Crest 75292 New In Box,£,79.21,9 Sep 2022
LEGO CITY CAMPER VAN 60283 SET ,£,12.0,9 Sep 2022
Lego 40498 - Christmas Penguin. Brand New & Sealed.,£,10.0,9 Sep 2022
New listingLEGO Star Wars 75320  Snowtrooper Battle Pack & 75231 Razor Crest DAMAGED BOXES,£,16.99,9 Sep 2022
LEGO Trolls World Tour 41252 Poppy's Hot Air Balloon Adventure NEW OPEN BOX,£,9.57,9 Sep 2022
"LEGO Architecture 21033  ★  Chicago  ★  neue Steine, ohne Anleitung, ohne OVP",£,61.09,9 Sep 2022
LEGO Marvel Super Heroes: Iron Man Hall of Armour (76125) BNIB - Retired,£,53.99,9 Sep 2022
LEGO Star Wars: TIE Fighter (75274),£,160.0,9 Sep 2022
LEGO Marvel: I am Groot (76217),£,31.05,9 Sep 2022
Lego Harry Potter - Hedwig 75979 - Wizarding World - BRAND NEW! FREE SHIPPING!,£,37.42,9 Sep 2022
RETIRED LEGO STAR WARS SANDCRAWLER SET NUMBER 75059 BNIB,£,350.0,9 Sep 2022
LEGO Creator 31132 VIKING SHIP AND THE MIDGARD SERPENT Set (3 in 1) New Sealed,£,82.64,9 Sep 2022
LEGO Disney: Encanto Antonio’s Magical Door (43200),£,10.51,9 Sep 2022
LEGO Creator Expert Winter Holiday Train (10254) NEW SEALED Christmas,£,169.99,9 Sep 2022
LEGO Creator - Volkswagen T1 Camper Van (10220) - Brand New in Sealed Box,£,149.99,9 Sep 2022
LEGO Marvel Avengers 76170 Iron Man vs. Thanos 103pcs NEW + Free Shipping,£,14.79,9 Sep 2022
LEGO new Friends Magical Acrobatics (41686) Gymnastics Fairground Set,£,10.99,9 Sep 2022
NIB! LEGO City Stuntz Fire Stunt Bike (60311) Motorcycle,£,3.92,9 Sep 2022
LEGO Star Wars: Duel on Mandalore (75310),£,16.0,9 Sep 2022
Lego Star Wars 75267 Mandalorian Battle Pack brand new and sealed #3,£,15.99,9 Sep 2022
New listingLEGO Ninjago Movie 70610 Flying Jelly Sub 2017 SEALED NEW RETIRED,£,38.68,9 Sep 2022
2 x LEGO Stunt Team City Nitro Wheels (60255),£,23.33,9 Sep 2022
"Bricklink AFOL Designer Programm, Lego Eight Studs BL19006, NEU und OVP",£,218.4,9 Sep 2022
LEGO 76206 Iron Man Marvel Infinity Saga with Lights,£,24.95,9 Sep 2022
LEGO CREATOR: Helicopter Adventure (31092),£,6.99,9 Sep 2022
LEGO DC COMICS SUPER HEROES - 76086 - Knightcrawler Tunnel Attack - New Unopened,£,55.0,9 Sep 2022
LEGO 10937 DC SUPER HEROES Batman Arkham Asylum Breakout *Brand New Sealed*,£,189.95,9 Sep 2022
X2 LEGO Racers 1239 - New Stock - Free UK Delivery,£,7.97,9 Sep 2022
Lego Minecraft the bee farm,£,12.55,9 Sep 2022
lego harry potter 75968 4 privet drive,£,45.0,9 Sep 2022
LEGO Lego Movie 2 70841 Benny's Space Squad,£,15.66,9 Sep 2022
