Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"562201-1","Friends","Magazine gift",2022,"Hair Salon",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.9600,,"",""
"562202-1","Friends","Magazine gift",2022,"Bunny Playground",,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.3900,,"",""
"562203-1","Friends","Magazine gift",2022,"Cat at the vets",,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.8200,,"",""
"562204-1","Friends","Magazine gift",2022,"Fruit Stand",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.6600,,"",""
"662102-1","Minecraft","Magazine Gift",2022,"TNT Launcher and Skeleton",1,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.6000,,"",""
"662103-1","Minecraft","Magazine Gift",2022,"Alex with Ocelot and Sheep",1,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2700,,"",""
"662203-1","Minecraft","Magazine Gift",2022,"Iron Golem",1,43,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5900,,"",""
"662204-1","Minecraft","Magazine Gift",2022,"Minecraft Miner and Creeper",2,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.9200,,"",""
"854153-1","Gear","Key Chains/Marvel Super Heroes",2022,"Miles Morales Key Chain",,,4.99,5.99,7.99,5.99,,673419361187,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854154-1","Gear","Key Chains/Marvel Super Heroes",2022,"Carnage Key Chain",,,4.99,5.99,7.99,5.99,,673419361194,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854155-1","Gear","Key Chains/Harry Potter",2022,"Voldemort Key Chain",,,4.99,5.99,7.99,5.99,,673419364928,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854156-1","Gear","Key Chains/Looney Tunes",2022,"Tasmanian Devil Key Chain",,,4.99,5.99,7.99,5.99,,673419365468,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
